x,m,v_x,v_y
7.752971172332763672e+00,8.060152530670166016e-01,1.004100441932678223e+00,9.280226826667785645e-01
5.710109710693359375e+00,9.041898846626281738e-01,4.812108516693115234e+00,3.070457458496093750e+00
6.668476104736328125e+00,9.041898846626281738e-01,2.827776193618774414e+00,1.960499167442321777e+00
7.634422302246093750e+00,9.041898846626281738e-01,1.184529066085815430e+00,1.053196549415588379e+00
4.164204120635986328e+00,1.002363920211791992e+00,1.090552711486816406e+01,6.971257686614990234e+00
4.961524009704589844e+00,1.002363920211791992e+00,7.010259628295898438e+00,4.350370883941650391e+00
5.911168098449707031e+00,1.002363920211791992e+00,4.336618900299072266e+00,2.784569740295410156e+00
6.707263469696044922e+00,1.002363920211791992e+00,2.767881393432617188e+00,1.932710289955139160e+00
7.288444042205810547e+00,1.002363920211791992e+00,1.774161338806152344e+00,1.395222902297973633e+00
7.730031490325927734e+00,1.002363920211791992e+00,1.030623555183410645e+00,9.479401111602783203e-01
7.995991706848144531e+00,1.002363920211791992e+00,6.628434658050537109e-01,6.521949172019958496e-01
8.156892776489257812e+00,1.002363920211791992e+00,4.295782446861267090e-01,4.319034814834594727e-01
8.134730339050292969e+00,1.002363920211791992e+00,4.838875234127044678e-01,4.925408363342285156e-01
8.037262916564941406e+00,1.002363920211791992e+00,6.078875660896301270e-01,6.067367792129516602e-01
7.935908317565917969e+00,1.002363920211791992e+00,7.414931654930114746e-01,7.243146300315856934e-01
7.831806182861328125e+00,1.002363920211791992e+00,8.911299109458923340e-01,8.480182886123657227e-01
7.723271369934082031e+00,1.002363920211791992e+00,1.042420983314514160e+00,9.560391306877136230e-01
7.626829147338867188e+00,1.002363920211791992e+00,1.188833117485046387e+00,1.057312488555908203e+00
7.540802955627441406e+00,1.002363920211791992e+00,1.353408932685852051e+00,1.166108965873718262e+00
7.481115341186523438e+00,1.002363920211791992e+00,1.439389348030090332e+00,1.220883727073669434e+00
7.421617984771728516e+00,1.002363920211791992e+00,1.551633834838867188e+00,1.277620315551757812e+00
7.394494533538818359e+00,1.002363920211791992e+00,1.600568056106567383e+00,1.303977012634277344e+00
7.380342483520507812e+00,1.002363920211791992e+00,1.621930837631225586e+00,1.316877365112304688e+00
7.357716560363769531e+00,1.002363920211791992e+00,1.646550416946411133e+00,1.337922334671020508e+00
7.272945404052734375e+00,1.002363920211791992e+00,1.803284287452697754e+00,1.410782694816589355e+00
7.268621444702148438e+00,1.002363920211791992e+00,1.811301827430725098e+00,1.415410518646240234e+00
2.409667968750000000e+00,1.100538134574890137e+00,3.611697387695312500e+01,2.545734977722167969e+01
2.930455684661865234e+00,1.100538134574890137e+00,2.450072479248046875e+01,1.664075469970703125e+01
3.636618614196777344e+00,1.100538134574890137e+00,1.498270988464355469e+01,9.750121116638183594e+00
4.372699737548828125e+00,1.100538134574890137e+00,9.676809310913085938e+00,6.110303401947021484e+00
4.990449905395507812e+00,1.100538134574890137e+00,6.896797180175781250e+00,4.285340785980224609e+00
5.530684947967529297e+00,1.100538134574890137e+00,5.255270481109619141e+00,3.347807407379150391e+00
5.940113067626953125e+00,1.100538134574890137e+00,4.282297134399414062e+00,2.760042428970336914e+00
6.231504440307617188e+00,1.100538134574890137e+00,3.666993379592895508e+00,2.421094655990600586e+00
6.417777061462402344e+00,1.100538134574890137e+00,3.310886621475219727e+00,2.223669052124023438e+00
6.517558574676513672e+00,1.100538134574890137e+00,3.118495941162109375e+00,2.122192144393920898e+00
6.535978794097900391e+00,1.100538134574890137e+00,3.078852891921997070e+00,2.094866275787353516e+00
6.502974510192871094e+00,1.100538134574890137e+00,3.140617609024047852e+00,2.134668111801147461e+00
6.420820236206054688e+00,1.100538134574890137e+00,3.304487466812133789e+00,2.219612360000610352e+00
6.299650669097900391e+00,1.100538134574890137e+00,3.530938386917114258e+00,2.319941520690917969e+00
6.189338684082031250e+00,1.100538134574890137e+00,3.736582040786743164e+00,2.450064182281494141e+00
6.060805320739746094e+00,1.100538134574890137e+00,4.009459495544433594e+00,2.596019506454467773e+00
5.945856571197509766e+00,1.100538134574890137e+00,4.270153045654296875e+00,2.752798080444335938e+00
5.835789680480957031e+00,1.100538134574890137e+00,4.515618324279785156e+00,2.894549608230590820e+00
5.739239692687988281e+00,1.100538134574890137e+00,4.737866401672363281e+00,3.022701740264892578e+00
5.665044784545898438e+00,1.100538134574890137e+00,4.923634529113769531e+00,3.142151594161987305e+00
5.609402656555175781e+00,1.100538134574890137e+00,5.062728404998779297e+00,3.231235504150390625e+00
5.565597534179687500e+00,1.100538134574890137e+00,5.162686824798583984e+00,3.284764766693115234e+00
5.530095577239990234e+00,1.100538134574890137e+00,5.256589412689208984e+00,3.348734855651855469e+00
5.463758468627929688e+00,1.100538134574890137e+00,5.420411109924316406e+00,3.443959712982177734e+00
5.341485500335693359e+00,1.100538134574890137e+00,5.757685184478759766e+00,3.639909505844116211e+00
5.204690456390380859e+00,1.100538134574890137e+00,6.160781383514404297e+00,3.840045452117919922e+00
1.977453947067260742e+00,1.198712706565856934e+00,5.551605606079101562e+01,4.072807693481445312e+01
2.574983596801757812e+00,1.198712706565856934e+00,3.239872741699218750e+01,2.248619270324707031e+01
3.170415401458740234e+00,1.198712706565856934e+00,2.055530357360839844e+01,1.375732994079589844e+01
3.638747692108154297e+00,1.198712706565856934e+00,1.493033504486083984e+01,9.622542381286621094e+00
