x,m,v_x,v_y
2.338864326477050781e+00,1.100538134574890137e+00,4.227215957641601562e+01,3.341193389892578125e+01
2.873198032379150391e+00,1.100538134574890137e+00,2.384855842590332031e+01,1.976391601562500000e+01
3.553174972534179688e+00,1.100538134574890137e+00,8.175874710083007812e+00,8.070176124572753906e+00
1.941392898559570312e+00,1.198712706565856934e+00,6.467917633056640625e+01,5.267895126342773438e+01
2.525306463241577148e+00,1.198712706565856934e+00,3.630600357055664062e+01,2.960147476196289062e+01
3.074250221252441406e+00,1.198712706565856934e+00,1.834016990661621094e+01,1.543750572204589844e+01
3.569053173065185547e+00,1.198712706565856934e+00,7.836267948150634766e+00,7.810524463653564453e+00
3.548620700836181641e+00,1.198712706565856934e+00,1.341723650693893433e-01,1.012256667017936707e-01
3.386271953582763672e+00,1.198712706565856934e+00,1.366945981979370117e+00,9.269005060195922852e-01
3.664714336395263672e+00,1.198712706565856934e+00,4.058454036712646484e+00,3.877499341964721680e+00
1.159180164337158203e+00,1.296887516975402832e+00,1.780295867919921875e+02,1.806672515869140625e+02
1.569723844528198242e+00,1.296887516975402832e+00,1.001864852905273438e+02,9.121708679199218750e+01
1.993031859397888184e+00,1.296887516975402832e+00,6.110902023315429688e+01,4.949375152587890625e+01
2.383274078369140625e+00,1.296887516975402832e+00,4.062300872802734375e+01,3.218375778198242188e+01
2.722641468048095703e+00,1.296887516975402832e+00,2.909117317199707031e+01,2.386803245544433594e+01
2.949463844299316406e+00,1.296887516975402832e+00,2.173118782043457031e+01,1.814073181152343750e+01
3.088188171386718750e+00,1.296887516975402832e+00,1.837082672119140625e+01,1.539852619171142578e+01
3.164800643920898438e+00,1.296887516975402832e+00,1.618317031860351562e+01,1.361921119689941406e+01
3.208696365356445312e+00,1.296887516975402832e+00,1.532527828216552734e+01,1.316137123107910156e+01
3.189000844955444336e+00,1.296887516975402832e+00,1.571724796295166016e+01,1.337721252441406250e+01
3.134609699249267578e+00,1.296887516975402832e+00,1.689943504333496094e+01,1.410835933685302734e+01
3.091675281524658203e+00,1.296887516975402832e+00,1.818541717529296875e+01,1.517718887329101562e+01
3.051028966903686523e+00,1.296887516975402832e+00,1.920828437805175781e+01,1.612438201904296875e+01
3.007419586181640625e+00,1.296887516975402832e+00,2.020342636108398438e+01,1.692274475097656250e+01
